,Analytic Details,Bypass,CAPEC ID,Contributor,Data Source,Description,Group,Group Alias,Group ID,Mitigation,Platform,Requires Permissions,Requires System,Tactic,Technique ID,Technique Name,URL
0,"['Monitor use of WinRM within an environment by tracking service execution. If it is not normally used or is disabled, then this may be an indicator of suspicious behavior. Monitor processes created and actions taken by the WinRM process or a WinRM invoked script to correlate it with other related events.']",[],[],[],"['File monitoring', 'Authentication logs', 'Netflow/Enclave netflow', 'Process command-line parameters', 'Process monitoring']",['[[Software/S0154|Cobalt Strike]] can use <code>WinRM</code> to execute a payload on a remote host.[[CiteRef::cobaltstrike manual]]'],['APT32'],"['APT32', 'OceanLotus Group']",['G0050'],"['Disable the WinRM service. If the service is necessary, lock down critical enclaves with separate WinRM infrastructure, accounts, and permissions. Follow WinRM best practices on configuration of authentication methods and use of host firewalls to restrict WinRM access to allow communication only to/from specific devices.[[CiteRef::NSA Spotting]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Windows 10']","['User', 'Administrator']",['WinRM listener turned on and configured on remote system'],"['Execution', 'Lateral Movement']",['Technique/T1028'],['Windows Remote Management'],https://attack.mitre.org/wiki/Technique/T1028
1,"['Monitor use of WinRM within an environment by tracking service execution. If it is not normally used or is disabled, then this may be an indicator of suspicious behavior. Monitor processes created and actions taken by the WinRM process or a WinRM invoked script to correlate it with other related events.']",[],[],[],"['File monitoring', 'Authentication logs', 'Netflow/Enclave netflow', 'Process command-line parameters', 'Process monitoring']",['[[Group/G0027|Threat Group-3390]] has used WinRM to enable remote execution.[[CiteRef::SecureWorks BRONZE UNION June 2017]]'],['Threat Group-3390'],"['Threat Group-3390', 'TG-3390', 'Emissary Panda', 'BRONZE UNION']",['G0027'],"['Disable the WinRM service. If the service is necessary, lock down critical enclaves with separate WinRM infrastructure, accounts, and permissions. Follow WinRM best practices on configuration of authentication methods and use of host firewalls to restrict WinRM access to allow communication only to/from specific devices.[[CiteRef::NSA Spotting]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Windows 10']","['User', 'Administrator']",['WinRM listener turned on and configured on remote system'],"['Execution', 'Lateral Movement']",['Technique/T1028'],['Windows Remote Management'],https://attack.mitre.org/wiki/Technique/T1028
2,"['Depending on the method used to pad files, a file-based signature may be capable of detecting padding using a scanning or on-access based tool. \n\nWhen executed, the resulting process from padded files may also exhibit other behavior characteristics of being used to conduct an intrusion such as system and network information [[Discovery]] or [[Lateral Movement]], which could be used as event indicators that point to the source file.']","['Anti-virus', 'Signature-based detection']",['572'],[],[],['[[Group/G0002|Moafee]] has been known to employ binary padding.[[CiteRef::Haq 2014]]'],['Moafee'],['Moafee'],['G0002'],"['Identify potentially malicious software that may be executed from a padded or otherwise obfuscated binary, and audit and/or block it by using whitelisting[[CiteRef::Beechey 2010]] tools, like AppLocker,[[CiteRef::Windows Commands JPCERT]][[CiteRef::NSA MS AppLocker]] or Software Restriction Policies[[CiteRef::Corio 2008]] where appropriate.[[CiteRef::TechNet Applocker vs SRP]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Defense Evasion'],['Technique/T1009'],['Binary Padding'],https://attack.mitre.org/wiki/Technique/T1009
3,"['Depending on the method used to pad files, a file-based signature may be capable of detecting padding using a scanning or on-access based tool. \n\nWhen executed, the resulting process from padded files may also exhibit other behavior characteristics of being used to conduct an intrusion such as system and network information [[Discovery]] or [[Lateral Movement]], which could be used as event indicators that point to the source file.']","['Anti-virus', 'Signature-based detection']",['572'],[],[],['A version of [[Software/S0117|XTunnel]] introduced in July 2015 inserted junk code into the binary in a likely attempt to obfuscate it and bypass security products.[[CiteRef::ESET Sednit Part 2]]'],['APT28'],"['APT28', 'Sednit', 'Sofacy', 'Pawn Storm', 'Fancy Bear', 'STRONTIUM', 'Tsar Team', 'Threat Group-4127', 'TG-4127']",['G0007'],"['Identify potentially malicious software that may be executed from a padded or otherwise obfuscated binary, and audit and/or block it by using whitelisting[[CiteRef::Beechey 2010]] tools, like AppLocker,[[CiteRef::Windows Commands JPCERT]][[CiteRef::NSA MS AppLocker]] or Software Restriction Policies[[CiteRef::Corio 2008]] where appropriate.[[CiteRef::TechNet Applocker vs SRP]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Defense Evasion'],['Technique/T1009'],['Binary Padding'],https://attack.mitre.org/wiki/Technique/T1009
4,"['Depending on the method used to pad files, a file-based signature may be capable of detecting padding using a scanning or on-access based tool. \n\nWhen executed, the resulting process from padded files may also exhibit other behavior characteristics of being used to conduct an intrusion such as system and network information [[Discovery]] or [[Lateral Movement]], which could be used as event indicators that point to the source file.']","['Anti-virus', 'Signature-based detection']",['572'],[],[],['[[Software/S0137|CORESHELL]] contains unused machine instructions in a likely attempt to hinder analysis.[[CiteRef::FireEye APT28]]'],['APT28'],"['APT28', 'Sednit', 'Sofacy', 'Pawn Storm', 'Fancy Bear', 'STRONTIUM', 'Tsar Team', 'Threat Group-4127', 'TG-4127']",['G0007'],"['Identify potentially malicious software that may be executed from a padded or otherwise obfuscated binary, and audit and/or block it by using whitelisting[[CiteRef::Beechey 2010]] tools, like AppLocker,[[CiteRef::Windows Commands JPCERT]][[CiteRef::NSA MS AppLocker]] or Software Restriction Policies[[CiteRef::Corio 2008]] where appropriate.[[CiteRef::TechNet Applocker vs SRP]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Defense Evasion'],['Technique/T1009'],['Binary Padding'],https://attack.mitre.org/wiki/Technique/T1009
5,"['Depending on the method used to pad files, a file-based signature may be capable of detecting padding using a scanning or on-access based tool. \n\nWhen executed, the resulting process from padded files may also exhibit other behavior characteristics of being used to conduct an intrusion such as system and network information [[Discovery]] or [[Lateral Movement]], which could be used as event indicators that point to the source file.']","['Anti-virus', 'Signature-based detection']",['572'],[],[],['A variant of [[Software/S0082|Emissary]] appends junk data to the end of its DLL file to create a large file that may exceed the maximum size that anti-virus programs can scan.[[CiteRef::Emissary Trojan Feb 2016]]'],['Lotus Blossom'],"['Lotus Blossom', 'Spring Dragon']",['G0030'],"['Identify potentially malicious software that may be executed from a padded or otherwise obfuscated binary, and audit and/or block it by using whitelisting[[CiteRef::Beechey 2010]] tools, like AppLocker,[[CiteRef::Windows Commands JPCERT]][[CiteRef::NSA MS AppLocker]] or Software Restriction Policies[[CiteRef::Corio 2008]] where appropriate.[[CiteRef::TechNet Applocker vs SRP]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Defense Evasion'],['Technique/T1009'],['Binary Padding'],https://attack.mitre.org/wiki/Technique/T1009
6,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['[[Software/S0021|Derusbi]] uses a backup communication method with an HTTP beacon.[[CiteRef::Fidelis Turbo]]'],['Deep Panda'],"['Deep Panda', 'Shell Crew', 'WebMasters', 'KungFu Kittens', 'PinkPanther', 'Black Vine']",['G0009'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
7,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['[[Software/S0021|Derusbi]] uses a backup communication method with an HTTP beacon.[[CiteRef::Fidelis Turbo]]'],['Axiom'],"['Axiom', 'Group 72']",['G0001'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
8,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['[[Software/S0017|BISCUIT]] malware contains a secondary fallback command and control server that is contacted after the primary command and control server.[[CiteRef::Mandiant APT1 Appendix]]'],['APT1'],"['APT1', 'Comment Crew', 'Comment Group', 'Comment Panda']",['G0006'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
9,"['Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.[[CiteRef::University of Birmingham C2]]']",[],[],[],"['Packet capture', 'Netflow/Enclave netflow', 'Malware reverse engineering', 'Process use of network', 'Process monitoring']",['[[Software/S0023|CHOPSTICK]] can switch to a new C2 channel if the current one is broken.[[CiteRef::ESET Sednit Part 2]]'],['APT28'],"['APT28', 'Sednit', 'Sofacy', 'Pawn Storm', 'Fancy Bear', 'STRONTIUM', 'Tsar Team', 'Threat Group-4127', 'TG-4127']",['G0007'],"['Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.[[CiteRef::University of Birmingham C2]]']","['Windows Server 2003', 'Windows Server 2008', 'Windows Server 2012', 'Windows XP', 'Windows 7', 'Windows 8', 'Windows Server 2003 R2', 'Windows Server 2008 R2', 'Windows Server 2012 R2', 'Windows Vista', 'Windows 8.1', 'Linux', 'Windows 10', 'MacOS', 'OS X']",[],[],['Command and Control'],['Technique/T1008'],['Fallback Channels'],https://attack.mitre.org/wiki/Technique/T1008
